바아,157,79
가자,197,53
다아,180,53
나가,185,80
카가,184,95
바차,164,62
하하,183,55
파자,185,89
차라,177,87
파마,175,97
바바,185,51
자마,156,86
다다,199,51
마가,189,72
파나,175,51
카마,175,70
다나,196,74
나사,194,64
라자,163,72
카라,192,57
차타,192,51
바카,179,95
아카,191,51
라하,185,60
마타,159,74
자다,157,91
마라,158,96
가다,153,84
아사,173,51
차타,165,54
가바,187,95
다파,150,91
바나,157,99
차타,200,67
사사,154,74
사다,153,50
다마,167,72
자사,197,60
마파,169,82
나타,185,76
아타,198,62
아자,171,86
나카,162,72
마자,186,71
라카,193,75
카마,194,65
사마,162,68
차아,168,65
타나,186,60
마파,159,85
파다,195,85
가아,199,74
자아,164,95
사아,180,52
다바,158,89
타자,167,73
차하,162,74
자가,183,56
파차,157,73
하가,178,54
아나,172,61
다라,195,89
하카,188,53
나마,191,53
자라,195,91
바차,183,52
파아,184,80
사바,190,99
파라,152,67
다사,185,57
차마,164,74
가하,179,83
카하,156,82
다다,165,100
카타,176,64
다파,194,54
차다,180,59
라하,171,86
마하,198,79
타하,166,74
자자,164,79
마마,161,92
아사,193,98
파차,182,64
사파,153,55
자라,154,73
하가,198,63
바사,185,87
차사,197,92
바파,176,50
라바,181,69
파다,161,89
타나,173,71
타가,164,83
자차,152,62
가파,173,63
카다,155,87
마가,164,77
가하,200,55
라타,187,74
다자,182,98
가카,162,81
바아,153,77
아카,173,59
바마,194,58
라파,179,62
카마,175,64
카차,167,96
하라,159,51
타아,158,62
차라,151,72
타하,179,98
마자,158,97
파파,191,54
아차,164,66
다차,176,58
파바,150,89
사사,184,86
마사,184,56
아아,185,85
카아,185,72
하바,185,100
바자,195,52
사하,172,53
사나,163,76
아라,162,56
카나,174,85
타가,176,98
차카,166,56
나바,178,90
아바,170,66
자다,162,81
가바,188,59
바카,193,63
하다,191,64
나나,157,67
아차,185,57
마사,184,58
바라,188,62
사나,199,73
차다,184,54
타나,154,71
카카,196,87
차가,194,83
마하,192,62
카마,199,51
타나,155,97
다가,195,91
아자,156,79
아마,150,72
자바,170,50
아카,180,82
라하,199,84
마카,161,94
사라,165,85
라다,195,85
마마,185,64
다마,162,99
마바,159,64
아가,186,84
자나,184,91
아다,167,65
마카,179,72
카자,154,81
가타,157,83
자아,176,77
사나,184,52
아타,181,99
가나,178,97
파다,176,77
차파,182,54
나파,155,55
자차,161,85
다아,169,98
마하,176,85
마타,187,79
카가,186,79
아가,196,68
타가,173,77
아나,174,75
바마,180,64
가자,152,87
나타,199,73
라나,181,56
다자,195,93
다가,161,87
나다,191,100
사파,167,53
자아,165,90
카아,195,94
라라,195,90
마다,178,95
파하,192,86
사사,150,74
바바,182,71
마다,158,62
마나,178,64
파바,160,62
가타,185,75
사카,158,71
가가,189,84
나가,168,91
마카,165,76
마마,154,64
라마,166,94
카사,195,61
다라,157,75
아아,191,64
다아,188,76
타가,187,91
타타,186,54
아타,200,55
카라,160,97
마카,193,90
가나,166,67
아라,178,83
차라,152,82
하파,197,100
사마,152,83
자타,171,80
카차,172,66
자파,199,51
하파,176,95
하타,186,82
사나,163,79
라나,191,79
라사,178,54
하하,161,93
나카,155,100
파차,194,99
차아,191,60
아가,197,97
하자,158,50
라사,187,83
바타,187,100
파하,199,91
나사,185,87
하자,185,93
바자,163,54
하사,176,53
다바,181,53
가사,181,92
자나,196,87
하사,171,97
카아,153,58
차바,185,51
파카,172,73
마타,157,59
바아,195,87
라파,157,93
자바,179,80
하다,176,84
다다,191,68
카하,196,76
사가,185,76
다다,169,87
가아,181,99
사자,184,61
